2026-01-15 16:21:18.567 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:21:24.870 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-18 U型件.SLDDRW
2026-01-15 16:21:24.882 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-18 U型件.SLDDRW
2026-01-15 16:21:39.755 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-18 U型件 - 图纸1
2026-01-15 16:21:44.502 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 4 个视图使用图纸比例
2026-01-15 16:21:44.503 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:21:44.504 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:21:44.694 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:21:45.083 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:21:45.084 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:21:56.668 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-19 接线口长折弯板.SLDDRW
2026-01-15 16:21:56.682 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-19 接线口长折弯板.SLDDRW
2026-01-15 16:22:08.621 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-19 接线口长折弯板 - 图纸1
2026-01-15 16:22:11.880 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 3 个视图使用图纸比例
2026-01-15 16:22:11.887 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
2026-01-15 16:22:11.889 | INFO     | 29304:21264 | core.sw_converter:_replace_template:152 - 开始替换模板
2026-01-15 16:22:12.094 | INFO     | 29304:21264 | core.sw_converter:_replace_template:160 - 模板目录: D:\Github\fastbom\template
2026-01-15 16:22:12.624 | INFO     | 29304:21264 | core.sw_converter:_replace_template:168 - 图纸尺寸: 0.297 x 0.210
2026-01-15 16:22:12.625 | INFO     | 29304:21264 | core.sw_converter:_replace_template:175 - 匹配图纸格式: a4图纸格式.slddrt
2026-01-15 16:22:23.030 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:70 - 正在处理: SC06020102.01-23 外罩定位板.SLDDRW
2026-01-15 16:22:23.040 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:71 - 完整路径: D:\Test_Data\SC06020102\SC06020102.01-23 外罩定位板.SLDDRW
2026-01-15 16:22:33.263 | INFO     | 29304:21264 | core.sw_converter:convert_to_dxf:92 - 连接到文档：SC06020102.01-23 外罩定位板 - 图纸1
2026-01-15 16:22:35.906 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:128 - 已设置 2 个视图使用图纸比例
2026-01-15 16:22:35.909 | INFO     | 29304:21264 | core.sw_converter:_set_views_to_sheet_scale:129 - 设置视图比例完成
